球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
本杰明·塞斯卡 - 选​择球​员,453.47833333333335,12,7,7,17,14,3,8,14,8,10,14,13,15,14,14,7,14,12,13,10,13,11,12,14,15,14,14,12,14,17,15,15,15,15,16,16,13,12,12
阿尔泰·贝蒂儿 - 选​择球​员,392.71583333333336,12,3,3,1,10,5,2,2,3,9,2,11,8,2,4,14,14,7,9,11,16,5,10,1,12,10,15,10,13,17,19,13,14,16,12,14,11,12,10
曼努埃尔·乌加特 - 选​择球​员,414.4533333333334,12,8,13,7,12,7,10,11,18,6,8,12,10,9,12,13,17,15,12,10,18,8,17,8,15,18,16,9,13,10,13,17,16,14,13,17,12,14,13
迪奥戈·达洛特 - 选​择球​员,423.5866666666667,13,13,12,10,14,8,15,13,13,6,8,14,12,8,11,14,15,11,10,10,13,10,14,14,13,12,13,12,14,13,16,15,14,14,15,15,12,13,12
考比·梅诺 - 选​择球​员,413.28916666666663,14,9,9,13,16,9,4,14,12,8,13,15,10,9,12,12,14,12,14,7,13,13,15,14,13,13,14,16,13,12,14,14,16,12,13,15,13,14,15
莱尼·约罗 - 选​择球​员,438.67333333333323,13,5,13,10,13,5,5,12,13,5,6,14,15,9,11,14,13,13,13,10,9,12,13,8,16,13,14,14,16,15,15,14,13,13,15,12,12,17,15
艾登·希文 - 选​择球​员,425.30166666666656,13,6,14,7,13,5,10,10,14,5,5,14,13,3,5,13,13,11,13,7,10,9,14,7,14,13,14,15,15,14,13,14,15,13,15,15,13,9,15
杰里米·多库 - 选​择球​员,451.58833333333325,14,12,5,14,15,11,5,18,7,8,11,13,5,9,17,8,14,13,16,6,13,13,15,13,12,13,13,13,19,8,13,13,13,14,16,15,14,13,13
马特奥·科瓦契奇 - 选​择球​员,430.2408333333333,14,10,12,12,16,10,7,16,15,12,8,16,10,9,14,13,17,11,14,11,14,15,15,13,17,14,15,17,15,9,13,14,16,13,14,12,13,13,14
约什科·格瓦迪奥尔 - 选​择球​员,448.11583333333334,16,12,14,7,14,2,12,13,14,6,12,14,15,8,13,14,16,15,14,13,15,15,15,13,17,17,14,16,14,13,16,15,15,16,15,15,14,16,18
马库斯·贝蒂奈里 - 选​择球​员,327.7941666666666,12,3,5,1,8,3,14,5,5,7,2,9,6,3,3,14,11,13,11,13,11,6,14,2,18,14,14,10,10,16,9,11,12,13,6,8,9,10,12
约翰·斯通斯 - 选​择球​员,449.3283333333334,16,6,13,12,16,4,8,14,16,5,8,14,14,6,12,15,17,16,15,13,13,14,16,15,13,17,15,17,14,16,13,15,12,15,15,15,16,14,14
马科·盖希 - 选​择球​员,444.19916666666666,14,12,16,7,15,5,9,14,15,7,8,15,14,8,11,15,14,14,15,17,11,13,15,10,17,14,15,15,15,14,14,15,15,14,14,16,16,14,15
菲尔·福登 - 选​择球​员,444.46083333333326,17,13,8,12,17,13,5,17,8,13,14,17,8,13,16,11,14,15,14,8,7,17,15,16,14,13,14,16,16,7,15,14,15,9,16,14,13,16,12
詹姆斯·特拉福德 - 选​择球​员,386.7966666666667,11,1,2,1,13,2,2,5,1,5,2,9,5,3,10,15,12,14,11,12,11,12,13,2,12,14,11,11,13,15,12,13,15,13,13,15,14,14,13
埃尔林·哈兰德 - 选​择球​员,514.525,13,10,6,17,14,7,5,14,7,13,18,13,15,13,16,7,13,15,15,13,15,14,14,18,20,15,19,17,17,18,17,14,17,17,19,19,16,14,18
安托万·赛门约 - 选​择球​员,439.015,12,11,5,10,15,6,14,16,7,7,16,16,10,13,17,7,12,11,13,8,14,13,13,15,13,12,12,15,16,11,16,14,14,14,15,14,13,11,9
内森·奥科 - 选​择球​员,433.955,14,10,16,3,14,2,10,13,15,6,8,14,15,10,6,15,16,15,14,13,12,13,14,5,15,16,14,15,15,12,15,15,13,15,14,14,16,15,12
提亚尼·雷吉恩德斯 - 选​择球​员,427.91749999999996,15,12,10,12,15,13,8,14,8,12,14,15,11,15,14,11,14,15,14,12,8,16,16,16,13,13,14,14,14,11,15,15,14,12,14,15,14,13,14
詹路易吉·多纳鲁马 - 选​择球​员,416.0683333333332,13,2,3,6,7,7,8,6,7,8,3,10,8,1,6,17,14,16,16,14,12,9,16,2,15,16,17,15,11,19,9,16,18,17,12,15,15,15,15
莱恩·埃特-努里 - 选​择球​员,420.7366666666666,13,14,12,8,15,11,8,17,15,7,10,15,11,9,18,14,13,12,13,7,11,13,12,14,15,13,13,15,14,10,16,14,13,11,15,13,14,11,12
莱恩·切尔基 - 选​择球​员,413.9583333333332,16,14,3,11,17,14,3,18,3,14,12,17,4,10,18,7,12,10,13,11,8,17,12,12,13,12,9,15,14,6,14,12,13,13,14,13,14,14,15
伯纳多·席尔瓦 - 选​择球​员,425.33666666666664,17,15,12,13,18,14,2,17,8,13,15,17,10,13,17,13,20,14,14,14,13,17,17,17,16,15,16,16,13,7,13,16,16,9,12,17,16,16,13
鲁本·迪亚西 - 选​择球​员,438.8858333333332,13,11,17,8,13,4,5,12,17,5,6,13,15,4,8,16,17,14,15,17,16,13,16,8,18,18,16,15,13,16,13,18,12,16,13,18,17,16,16
罗德里 - 选​择球​员,456.05749999999995,16,8,13,8,14,4,7,13,17,8,13,15,13,15,9,17,16,17,18,13,13,16,16,14,13,15,17,20,14,17,14,17,12,16,13,16,18,18,15
尼科 - 选​择球​员,422.7958333333334,16,8,11,8,16,6,5,14,13,8,11,16,12,10,14,14,14,13,15,11,14,15,14,13,14,10,14,17,13,13,13,16,16,14,13,15,16,15,14
马特乌斯 - 选​择球​员,438.4558333333333,13,16,9,11,15,13,12,14,11,11,12,14,10,13,15,12,16,16,13,8,15,14,16,14,15,16,13,14,14,12,16,15,13,14,15,17,15,17,17
奥马尔·马尔冒斯 - 选​择球​员,456.4741666666666,13,12,7,16,15,15,6,16,8,18,14,14,11,14,16,7,15,13,14,12,13,15,13,16,16,11,16,16,16,11,16,13,15,13,16,14,13,14,15
萨维尼奥 - 选​择球​员,437.71250000000003,14,14,5,10,17,13,11,17,4,12,10,18,3,9,18,5,14,12,13,12,8,15,12,15,15,6,13,12,17,8,16,13,14,7,16,13,12,5,13
里科·刘易斯 - 选​择球​员,417.43833333333333,13,10,12,12,13,4,10,13,13,6,8,13,12,5,12,15,16,13,14,12,15,12,13,13,17,17,12,14,15,8,15,15,13,13,14,13,13,14,14
李·奥赖利 - 选​择球​员,430.44166666666666,13,12,11,8,15,12,9,15,12,12,11,13,10,8,16,13,14,13,14,7,10,14,13,13,15,12,13,14,16,15,13,15,13,12,14,12,15,13,12
阿卜杜克迪尔·胡萨诺夫 - 选​择球​员,449.2200000000001,13,7,13,10,12,5,11,9,16,6,7,12,13,8,7,14,15,14,13,12,16,12,13,12,13,16,13,13,17,15,15,15,13,15,17,15,13,12,13
莱安德罗·特罗萨尔德 - 选​择球​员,422.84583333333336,14,12,6,13,16,14,4,15,4,12,14,15,6,13,15,9,14,14,14,8,13,15,14,15,15,13,14,14,16,6,13,13,13,9,14,12,13,15,13
加布里埃尔·赫苏斯 - 选​择球​员,424.90749999999997,13,12,7,13,16,8,4,16,8,11,13,15,14,11,15,10,18,14,15,11,14,14,18,16,15,14,16,13,14,10,14,13,15,13,13,10,13,14,14
加百列 - 选​择球​员,449.19083333333333,13,7,16,7,13,4,7,10,18,4,8,12,19,7,8,15,14,13,15,13,17,13,17,9,19,18,15,13,13,17,15,16,14,19,15,15,17,12,15
加布里埃尔·泰奥多罗·马丁内利·席尔瓦 - 选​择球​员,455.1941666666667,12,11,5,11,15,13,3,16,5,10,14,14,11,9,15,7,17,12,13,7,14,13,16,15,17,14,14,13,17,11,16,15,14,11,16,15,14,13,15
克里斯蒂安·诺加德 - 选​择球​员,410.6449999999999,13,10,14,8,14,9,9,12,15,9,9,14,13,9,10,16,16,15,15,15,15,13,16,12,15,15,15,15,12,14,11,16,13,12,12,14,15,15,14
德克兰·赖斯 - 选​择球​员,449.9824999999999,15,15,15,11,15,20,15,14,17,17,11,16,14,12,10,16,17,15,18,16,13,14,19,16,18,16,18,17,13,14,15,17,15,14,13,18,19,16,16
布卡约·萨卡 - 选​择球​员,472.8066666666666,13,15,8,15,17,18,6,17,10,14,15,16,9,17,16,10,16,14,16,13,13,15,17,17,17,12,16,15,17,9,15,17,18,13,15,18,17,15,18
大卫·拉亚 - 选​择球​员,354.26000000000005,12,1,2,3,12,5,1,1,2,8,1,12,8,1,13,13,13,13,12,12,12,15,12,6,16,13,14,14,12,12,14,12,11,11,10,16,17,13,16
本杰明·怀特 - 选​择球​员,428.78249999999997,14,13,15,5,14,5,9,12,15,3,8,14,14,9,13,16,14,15,15,11,13,13,16,13,14,15,17,16,14,14,12,15,13,14,14,13,14,12,14
埃贝尔·艾泽 - 选​择球​员,428.1416666666666,15,13,6,12,16,14,4,17,7,14,13,15,6,15,18,10,12,12,14,11,10,16,15,16,14,8,15,15,14,9,15,13,16,12,13,13,14,16,15
尤里恩·玛杜罗 - 选​择球​员,438.6866666666666,15,12,15,8,15,4,10,13,16,7,6,14,14,7,12,15,15,15,15,12,14,12,16,14,16,16,16,15,14,13,14,15,13,14,15,14,16,14,16
诺尼·马杜埃凯 - 选​择球​员,443.2575,13,13,3,11,15,13,3,17,5,10,13,16,11,13,16,5,13,11,14,5,9,14,12,15,12,13,12,15,15,13,15,13,16,14,16,15,12,12,12
里卡尔多·卡拉菲奥里 - 选​择球​员,436.39500000000004,15,12,14,7,15,4,14,13,15,6,9,14,14,12,13,15,14,14,15,10,15,13,16,13,15,13,17,15,14,14,14,15,14,14,14,15,15,14,16
威廉·萨利巴 - 选​择球​员,466.27,13,10,16,10,16,5,6,12,18,5,9,15,16,11,11,16,15,15,16,10,15,12,17,8,16,15,18,19,14,16,16,16,16,17,15,16,18,16,18
马丁·奥德加德 - 选​择球​员,436.5058333333333,18,15,9,14,19,16,3,17,10,14,13,18,8,16,16,10,15,15,17,15,9,19,19,17,16,10,18,16,13,9,15,15,16,11,13,13,14,13,15
凯帕·阿里萨巴拉加 - 选​择球​员,353.385,11,2,1,2,11,4,1,1,3,6,2,11,5,2,2,13,10,16,14,10,8,11,13,5,13,10,14,14,9,14,16,12,13,12,12,12,13,12,10
米克尔·梅利诺 - 选​择球​员,430.7325,15,11,14,10,15,8,8,14,13,10,13,14,15,12,13,14,15,15,15,12,15,15,16,14,16,15,15,13,12,15,15,17,13,16,13,16,14,15,16
马丁·苏维门迪 - 选​择球​员,409.91999999999996,16,10,15,12,15,9,2,13,15,8,11,16,14,13,10,15,15,16,16,12,14,15,17,13,13,13,18,16,12,11,15,15,12,14,11,15,16,15,15
皮埃洛·海因卡佩 - 选​择球​员,448.13666666666666,14,11,15,10,13,5,14,12,17,5,7,12,13,7,11,14,18,14,13,11,17,13,15,11,18,18,14,14,14,15,16,15,15,15,16,14,15,14,14
凯·哈瓦茨 - 选​择球​员,431.2316666666667,16,10,8,13,17,10,8,15,10,11,13,16,15,11,14,11,14,11,14,7,11,15,15,17,14,12,16,13,13,14,14,15,15,14,14,17,14,13,13
维克托·格约克雷斯 - 选​择球​员,459.4958333333332,13,10,6,15,13,6,6,14,8,7,16,14,13,12,13,8,19,13,13,7,17,13,16,13,18,16,12,14,14,14,16,18,18,18,16,17,13,11,14
克里斯蒂安·莫斯克拉 - 选​择球​员,439.21583333333336,13,10,15,8,11,4,11,11,17,7,7,12,13,8,10,13,15,13,13,10,15,13,14,7,13,15,15,13,14,15,14,14,13,15,17,16,13,13,15
迈尔斯·路易斯-史凯利 - 选​择球​员,436.95916666666665,14,12,10,10,15,10,7,15,13,10,9,15,8,10,13,10,14,12,12,9,14,13,15,12,14,13,12,14,16,10,16,14,17,15,14,17,14,16,18
马克斯·罗伯特·道曼 - 选​择球​员,399.6550000000001,11,10,7,12,14,12,8,14,7,12,10,13,8,10,16,9,15,9,14,4,9,13,10,14,16,4,14,11,15,10,14,11,11,9,13,13,13,2,11
马尔基尼奥斯 - 选​择球​员,439.5991666666667,13,11,16,8,13,4,7,10,16,4,8,13,16,10,10,16,15,16,15,16,15,13,17,8,16,15,17,16,13,16,13,16,16,15,14,15,16,15,14
卢卡斯·舍瓦莱 - 选​择球​员,381.60416666666663,14,2,1,5,13,2,3,3,3,1,1,14,3,1,15,13,14,12,13,14,12,15,13,11,16,14,15,14,11,15,16,14,13,12,12,13,14,18,16
布拉德利·巴科拉 - 选​择球​员,449.52750000000003,14,13,5,10,16,10,5,16,5,9,13,16,11,12,16,9,14,12,11,10,12,13,14,15,13,12,12,12,17,13,13,12,13,10,17,15,13,12,13
玛特威·萨芬诺 - 选​择球​员,368.91666666666663,12,2,3,5,9,6,1,2,2,10,3,12,1,1,8,14,12,14,13,13,13,12,13,3,13,13,13,16,11,16,13,12,12,15,12,12,14,14,11
克维查·克瓦拉茨赫利亚 - 选​择球​员,436.52833333333336,16,14,8,15,18,8,4,18,10,14,15,18,11,14,19,5,12,11,15,10,11,15,11,17,17,12,12,14,15,9,13,12,13,10,15,16,16,12,16
卢卡斯·埃尔南德斯·卡斯坎特 - 选​择球​员,423.97833333333335,14,13,16,7,13,6,12,12,16,8,6,14,14,7,11,16,15,13,14,13,18,12,15,13,17,17,15,14,13,14,14,14,15,15,13,13,14,15,13
法比安 - 选​择球​员,421.96166666666664,16,14,13,11,16,9,9,15,14,9,14,17,13,16,16,14,14,14,14,11,13,15,15,15,13,14,15,15,12,14,13,16,16,13,12,14,15,12,13
阿什拉夫·哈基米 - 选​择球​员,472.2241666666667,15,15,13,10,14,7,11,15,13,13,13,15,11,13,14,13,17,13,13,15,16,13,13,17,16,12,13,13,18,11,15,18,14,12,18,19,17,15,14
李康仁 - 选​择球​员,418.11249999999995,15,15,6,13,16,14,7,16,6,14,13,17,8,15,17,8,13,13,12,10,13,15,13,14,16,12,14,12,14,8,13,13,13,10,13,12,12,13,15
伊利亚·扎巴尔尼 - 选​择球​员,435.7341666666667,13,3,15,6,12,3,5,9,16,4,5,11,14,5,6,15,14,15,15,9,12,10,16,8,14,14,15,17,14,15,14,15,15,16,15,15,14,18,15
维辛哈 - 选​择球​员,435.9866666666667,17,13,15,17,16,13,8,17,14,13,12,17,7,14,17,15,17,16,15,14,14,17,16,15,15,15,16,16,13,8,14,18,16,11,13,16,18,14,16
贡萨洛·拉莫斯 - 选​择球​员,432.99916666666667,13,10,7,11,14,10,4,13,8,8,15,14,15,12,13,8,15,15,15,10,14,13,16,15,16,15,14,13,13,13,16,16,15,14,14,15,13,13,14
努诺·门德斯 - 选​择球​员,463.22833333333335,14,15,12,9,14,13,11,15,14,13,10,15,9,10,12,13,15,12,13,8,15,13,12,14,14,12,14,14,18,10,16,15,14,13,18,16,15,14,17
奥斯曼·登贝莱 - 选​择球​员,465.1275,15,14,8,14,18,12,5,18,6,10,16,18,7,13,18,10,15,13,13,13,13,14,14,15,15,12,13,13,18,8,15,14,13,10,17,15,16,15,13
威廉·帕库 - 选​择球​员,451.2949999999999,14,8,16,6,12,3,8,11,16,4,6,13,15,6,11,15,15,15,15,10,16,13,15,10,16,17,16,15,14,16,16,15,15,18,15,15,16,14,15
若奥·内维什 - 选​择球​员,436.03249999999997,15,12,14,10,14,11,12,16,16,10,11,15,15,11,15,14,16,16,14,12,17,14,14,14,16,16,14,15,14,12,14,17,17,13,13,17,15,13,14
贝拉尔多 - 选​择球​员,409.7008333333334,14,9,14,7,12,5,7,11,15,7,9,13,14,5,10,15,14,13,13,12,15,14,13,11,13,15,15,14,13,13,13,14,14,15,13,13,13,14,13
德希雷·杜艾 - 选​择球​员,425.1791666666667,15,14,11,10,17,14,4,17,10,11,12,17,9,13,16,10,14,12,12,8,10,15,14,12,15,13,12,13,16,9,14,13,13,11,14,14,13,12,12
沃伦·扎伊尔-埃梅里 - 选​择球​员,416.72416666666663,15,11,13,10,14,11,4,13,14,8,8,15,9,12,13,15,15,13,13,8,14,14,15,15,16,15,14,14,14,10,11,16,15,14,13,15,14,13,14
森尼·马尤鲁 - 选​择球​员,404.55,14,10,11,11,13,11,4,14,11,10,11,15,10,11,13,10,15,12,12,7,11,12,13,14,13,13,12,13,14,11,13,13,15,9,14,14,12,10,11
易卜拉欣·姆巴耶 - 选​择球​员,406.78749999999997,13,11,6,11,14,10,11,14,6,9,11,14,12,10,14,8,12,10,10,7,10,14,13,13,14,13,11,11,15,13,12,11,12,8,14,13,10,8,11
戴维·阿拉巴 - 选​择球​员,412.9700000000001,16,12,14,14,15,12,13,12,13,15,10,15,13,14,12,15,14,14,14,15,13,13,15,14,16,12,14,14,13,11,11,13,14,12,13,15,14,15,15
蒂博·库尔图瓦 - 选​择球​员,400.58333333333337,13,1,3,5,12,5,1,10,2,10,2,10,10,2,14,16,12,16,16,14,8,10,14,3,16,15,15,13,12,18,11,8,14,14,11,12,16,19,17
米利唐 - 选​择球​员,439.36999999999995,14,10,15,13,12,9,11,12,16,10,8,12,16,11,10,16,16,12,14,16,15,12,13,12,15,16,15,12,14,14,13,15,15,16,15,18,13,15,15
维尼休斯·儒尼奥尔 - 选​择球​员,481.90333333333336,15,13,3,14,16,7,4,19,6,8,16,15,12,12,16,8,10,10,12,13,17,12,9,15,20,17,15,13,19,8,16,16,17,12,18,15,11,18,9
罗德里戈 - 选​择球​员,446.39000000000004,15,12,5,12,15,11,8,17,6,14,17,15,12,14,15,10,14,13,14,11,11,14,13,17,14,14,14,14,15,7,16,15,16,13,16,12,12,16,13
特伦特·亚历山大-阿诺德 - 选​择球​员,421.6424999999999,19,17,10,11,17,15,9,11,12,15,8,17,11,12,14,11,14,12,13,12,13,17,15,15,15,11,13,15,14,11,14,13,15,13,14,15,15,15,14
卜拉欣·迪亚斯 - 选​择球​员,416.6241666666667,15,13,7,12,16,12,7,16,8,9,12,16,6,12,15,9,12,12,12,8,9,14,13,14,17,12,13,13,16,6,14,12,14,7,14,13,12,13,13
裘德·贝灵汉 - 选​择球​员,462.30750000000006,17,12,12,13,17,11,6,17,15,11,17,17,14,14,18,12,17,13,14,17,17,15,15,17,20,17,16,16,15,12,15,16,14,14,14,16,16,17,18
奥雷利安·特乔亚梅尼 - 选​择球​员,457.65749999999986,15,10,16,10,14,8,8,12,16,6,9,13,13,13,13,15,18,14,14,12,15,14,15,12,15,16,16,15,15,14,13,17,15,18,16,16,14,14,15
爱德华多·卡马温加 - 选​择球​员,463.51166666666666,15,13,14,7,15,6,13,13,16,6,10,15,13,12,12,14,16,13,13,13,15,13,16,14,16,16,15,13,16,13,16,17,15,16,17,16,14,15,15
丹尼尔·卡瓦哈尔 - 选​择球​员,422.195,13,14,13,9,12,11,13,13,15,8,11,13,12,11,12,15,18,13,15,14,17,13,16,17,17,18,16,13,14,7,13,15,17,13,13,14,14,17,14
丹尼尔·塞瓦略斯 - 选​择球​员,402.85666666666674,16,13,8,10,16,12,12,16,12,12,12,16,7,13,14,12,9,14,13,8,13,16,11,14,11,12,12,13,14,8,16,13,15,9,13,11,10,12,11
弗兰·加西亚 - 选​择球​员,432.7033333333334,11,11,12,7,12,11,15,12,13,12,8,10,5,12,11,11,17,12,11,12,14,10,16,13,14,16,12,12,16,5,15,17,17,13,17,14,13,11,14
安德烈·卢宁 - 选​择球​员,388.3325,10,2,2,3,10,5,1,2,3,6,1,12,9,3,1,14,14,13,13,8,5,11,13,3,15,12,13,13,14,15,15,14,12,14,12,14,14,12,15
费德里科·巴尔韦德 - 选​择球​员,466.18249999999995,15,12,13,9,14,13,10,12,15,14,13,14,12,17,14,13,18,14,13,14,12,13,18,14,18,17,15,13,17,12,15,18,15,14,17,17,15,16,12
弗兰德·门迪 - 选​择球​员,413.39500000000004,12,13,14,7,13,5,13,13,14,5,7,13,10,11,13,15,16,12,12,6,14,12,15,13,12,17,15,13,14,11,13,14,16,14,14,13,13,13,11
基利安·姆巴佩 - 选​择球​员,501.45666666666665,15,13,4,18,17,13,3,18,4,11,18,18,9,15,18,4,13,16,16,13,6,16,10,17,18,12,17,18,20,8,17,15,16,12,19,15,15,16,16
安东尼奥·吕丁格 - 选​择球​员,440.6991666666667,12,10,15,7,11,5,14,10,17,9,7,10,15,8,9,14,15,15,16,18,18,12,13,8,17,18,14,13,14,15,14,15,14,17,15,15,16,16,13
阿尔瓦洛·费尔南德兹 - 选​择球​员,429.0416666666667,15,10,11,10,15,8,11,14,15,7,11,14,11,12,11,12,14,13,14,12,14,13,15,14,16,13,14,15,14,13,15,15,15,13,14,16,16,14,13
布鲁诺·伊格莱西亚斯 - 选​择球​员,366.81416666666667,13,9,2,11,14,10,3,14,4,13,9,13,8,10,17,11,9,12,13,8,8,15,9,13,16,9,11,12,12,12,12,10,11,9,11,10,9,8,10
阿尔达·居勒 - 选​择球​员,410.96999999999997,16,15,7,14,18,15,8,14,7,14,14,17,11,16,15,7,13,11,14,12,14,17,16,12,16,13,14,13,14,6,13,11,13,11,12,14,12,12,16
迪恩·豪耶森 - 选​择球​员,406.1408333333334,15,7,14,14,14,7,7,11,14,6,8,13,14,8,7,14,14,14,13,8,11,14,12,10,15,8,14,16,12,17,11,13,12,11,13,11,13,7,15
劳尔·阿森西奥 - 选​择球​员,441.2075,13,8,14,6,13,7,13,10,14,7,7,12,13,6,8,13,16,14,12,10,17,9,15,8,15,18,14,13,17,13,16,14,11,13,16,15,13,15,13
贡萨洛·加西亚 - 选​择球​员,420.2483333333333,11,8,5,13,13,7,7,13,6,10,14,13,14,9,13,7,14,13,12,12,11,14,12,13,16,14,13,13,15,12,14,13,13,13,13,13,12,16,10
弗兰科·马斯坦图诺 - 选​择球​员,408.24499999999995,13,13,5,13,16,13,10,17,7,16,12,14,7,13,18,5,12,12,10,8,13,14,10,13,14,10,13,12,13,9,16,12,14,10,14,12,12,9,12
恺撒·帕拉西奥斯 - 选​择球​员,384.07166666666666,14,12,9,7,14,14,8,14,8,15,11,15,9,15,16,7,11,11,13,13,10,14,13,14,16,11,15,14,11,10,12,11,13,12,12,13,13,4,11
罗伯特·莱万多夫斯基 - 选​择球​员,425.3949999999999,13,9,7,18,16,6,3,13,7,15,18,16,17,12,14,7,13,16,17,15,13,14,13,18,18,15,16,17,11,13,11,13,16,15,12,17,15,16,16
拉菲尼亚 - 选​择球​员,464.3191666666666,15,15,8,14,15,15,11,15,11,14,15,15,10,14,16,8,18,17,15,16,16,14,15,19,19,17,15,15,16,8,16,16,15,11,16,17,16,16,15
丹尼尔·奥尔莫 - 选​择球​员,408.9316666666666,16,13,8,13,17,13,6,17,10,13,13,18,9,13,17,10,13,11,14,11,11,17,14,14,16,11,15,16,13,9,13,14,15,10,12,10,11,16,16
安德烈亚斯·克里斯滕森 - 选​择球​员,412.5574999999999,13,9,15,9,13,5,12,11,14,5,9,13,14,8,8,16,13,16,16,9,11,13,15,9,11,11,16,17,12,13,15,13,12,13,15,10,15,14,14
沃伊切赫·什琴斯尼 - 选​择球​员,365.5608333333333,11,1,2,3,8,5,1,2,2,8,3,10,6,2,7,14,11,11,12,14,12,10,10,4,14,15,13,16,10,17,9,12,11,15,12,12,14,14,15
马库斯·拉什福德 - 选​择球​员,454.53583333333336,14,13,4,16,15,13,5,15,4,13,15,14,12,13,16,4,10,12,12,10,10,13,11,16,13,10,13,12,16,13,16,14,15,15,17,14,12,17,13
埃里克·加西亚 - 选​择球​员,418.92,15,11,14,9,14,6,8,12,14,8,9,14,14,10,10,16,16,14,15,14,14,14,17,11,15,14,15,15,13,12,12,15,13,14,14,13,16,13,13
弗兰基·德容 - 选​择球​员,417.0808333333333,17,14,9,11,17,13,6,17,12,13,11,17,9,10,14,14,13,13,16,14,10,18,17,14,14,11,16,16,13,9,13,15,15,11,13,13,14,13,13
